O*NET-SOC Code	Title	Element ID	Element Name	Data Value
11-1011.00	Chief Executives	1.A.1.a.1	Oral Comprehension	4.62
11-1011.00	Chief Executives	1.A.1.a.2	Written Comprehension	4.25
11-1011.00	Chief Executives	1.A.1.a.3	Oral Expression	4.5
11-1011.00	Chief Executives	1.A.1.a.4	Written Expression	4.12
11-1011.00	Chief Executives	1.A.1.b.1	Fluency of Ideas	3.88
11-1011.00	Chief Executives	1.A.1.b.2	Originality	3.75
11-1011.00	Chief Executives	1.A.1.b.3	Problem Sensitivity	4.0
11-1011.00	Chief Executives	1.A.1.b.4	Deductive Reasoning	4.12
11-1011.00	Chief Executives	1.A.1.b.5	Inductive Reasoning	4.0
11-1011.00	Chief Executives	1.A.1.b.6	Information Ordering	4.0
11-1011.00	Chief Executives	1.A.1.b.7	Category Flexibility	3.5
11-1011.00	Chief Executives	1.A.1.c.1	Mathematical Reasoning	3.25
11-1011.00	Chief Executives	1.A.1.c.2	Number Facility	3.12
11-1011.00	Chief Executives	1.A.1.d.1	Memorization	2.88
11-1011.00	Chief Executives	1.A.1.e.1	Speed of Closure	3.0
11-1011.00	Chief Executives	1.A.1.e.2	Flexibility of Closure	3.25
11-1011.00	Chief Executives	1.A.1.e.3	Perceptual Speed	3.0
11-1011.00	Chief Executives	1.A.1.f.1	Spatial Orientation	1.38
11-1011.00	Chief Executives	1.A.1.f.2	Visualization	3.0
11-1011.00	Chief Executives	1.A.1.g.1	Selective Attention	3.0
11-1011.00	Chief Executives	1.A.1.g.2	Time Sharing	2.88
11-1011.00	Chief Executives	1.A.2.a.1	Arm-Hand Steadiness	1.38
11-1011.00	Chief Executives	1.A.2.a.2	Manual Dexterity	1.0
11-1011.00	Chief Executives	1.A.2.a.3	Finger Dexterity	1.5
11-1011.00	Chief Executives	1.A.2.b.1	Control Precision	1.75
11-1011.00	Chief Executives	1.A.2.b.2	Multilimb Coordination	1.75
11-1011.00	Chief Executives	1.A.2.b.3	Response Orientation	1.38
11-1011.00	Chief Executives	1.A.2.b.4	Rate Control	1.38
11-1011.00	Chief Executives	1.A.2.c.1	Reaction Time	1.38
11-1011.00	Chief Executives	1.A.2.c.2	Wrist-Finger Speed	1.38
11-1011.00	Chief Executives	1.A.2.c.3	Speed of Limb Movement	1.0
11-1011.00	Chief Executives	1.A.3.a.1	Static Strength	1.0
11-1011.00	Chief Executives	1.A.3.a.2	Explosive Strength	1.0
11-1011.00	Chief Executives	1.A.3.a.3	Dynamic Strength	1.25
11-1011.00	Chief Executives	1.A.3.a.4	Trunk Strength	1.38
11-1011.00	Chief Executives	1.A.3.b.1	Stamina	1.0
11-1011.00	Chief Executives	1.A.3.c.1	Extent Flexibility	1.0
11-1011.00	Chief Executives	1.A.3.c.2	Dynamic Flexibility	1.0
11-1011.00	Chief Executives	1.A.3.c.3	Gross Body Coordination	1.0
11-1011.00	Chief Executives	1.A.3.c.4	Gross Body Equilibrium	1.0
11-1011.00	Chief Executives	1.A.4.a.1	Near Vision	3.62
11-1011.00	Chief Executives	1.A.4.a.2	Far Vision	3.0
11-1011.00	Chief Executives	1.A.4.a.3	Visual Color Discrimination	2.0
11-1011.00	Chief Executives	1.A.4.a.4	Night Vision	1.25
11-1011.00	Chief Executives	1.A.4.a.5	Peripheral Vision	1.25
11-1011.00	Chief Executives	1.A.4.a.6	Depth Perception	1.75
11-1011.00	Chief Executives	1.A.4.a.7	Glare Sensitivity	1.25
