O*NET-SOC Code	Title	Element ID	Element Name	Data Value
11-1011.00	Chief Executives	4.A.1.a.1	Getting Information	4.56
11-1011.00	Chief Executives	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	4.25
11-1011.00	Chief Executives	4.A.1.b.1	Identifying Objects, Actions, and Events	4.23
11-1011.00	Chief Executives	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.51
11-1011.00	Chief Executives	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	3.26
11-1011.00	Chief Executives	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	4.18
11-1011.00	Chief Executives	4.A.2.a.2	Processing Information	4.46
11-1011.00	Chief Executives	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	4.49
11-1011.00	Chief Executives	4.A.2.a.4	Analyzing Data or Information	4.38
11-1011.00	Chief Executives	4.A.2.b.1	Making Decisions and Solving Problems	4.85
11-1011.00	Chief Executives	4.A.2.b.2	Thinking Creatively	4.32
11-1011.00	Chief Executives	4.A.2.b.3	Updating and Using Relevant Knowledge	4.31
11-1011.00	Chief Executives	4.A.2.b.4	Developing Objectives and Strategies	4.57
11-1011.00	Chief Executives	4.A.2.b.5	Scheduling Work and Activities	3.83
11-1011.00	Chief Executives	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.53
11-1011.00	Chief Executives	4.A.3.a.1	Performing General Physical Activities	1.96
11-1011.00	Chief Executives	4.A.3.a.2	Handling and Moving Objects	1.86
11-1011.00	Chief Executives	4.A.3.a.3	Controlling Machines and Processes	2.04
11-1011.00	Chief Executives	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.67
11-1011.00	Chief Executives	4.A.3.b.1	Working with Computers	4.17
11-1011.00	Chief Executives	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.62
11-1011.00	Chief Executives	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.21
11-1011.00	Chief Executives	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.45
11-1011.00	Chief Executives	4.A.3.b.6	Documenting/Recording Information	3.6
11-1011.00	Chief Executives	4.A.4.a.1	Interpreting the Meaning of Information for Others	4.15
11-1011.00	Chief Executives	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.75
11-1011.00	Chief Executives	4.A.4.a.3	Communicating with People Outside the Organization	4.55
11-1011.00	Chief Executives	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.8
11-1011.00	Chief Executives	4.A.4.a.5	Assisting and Caring for Others	3.31
11-1011.00	Chief Executives	4.A.4.a.6	Selling or Influencing Others	3.81
11-1011.00	Chief Executives	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	4.47
11-1011.00	Chief Executives	4.A.4.a.8	Performing for or Working Directly with the Public	3.9
11-1011.00	Chief Executives	4.A.4.b.1	Coordinating the Work and Activities of Others	4.1
11-1011.00	Chief Executives	4.A.4.b.2	Developing and Building Teams	4.63
11-1011.00	Chief Executives	4.A.4.b.3	Training and Teaching Others	4.01
11-1011.00	Chief Executives	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	4.74
11-1011.00	Chief Executives	4.A.4.b.5	Coaching and Developing Others	4.71
11-1011.00	Chief Executives	4.A.4.b.6	Providing Consultation and Advice to Others	3.95
11-1011.00	Chief Executives	4.A.4.c.1	Performing Administrative Activities	4.02
11-1011.00	Chief Executives	4.A.4.c.2	Staffing Organizational Units	3.78
11-1011.00	Chief Executives	4.A.4.c.3	Monitoring and Controlling Resources	4.11
11-1011.03	Chief Sustainability Officers	4.A.1.a.1	Getting Information	4.78
11-1011.03	Chief Sustainability Officers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.48
11-1011.03	Chief Sustainability Officers	4.A.1.b.1	Identifying Objects, Actions, and Events	3.85
11-1011.03	Chief Sustainability Officers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.11
11-1011.03	Chief Sustainability Officers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	3.54
11-1011.03	Chief Sustainability Officers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.85
11-1011.03	Chief Sustainability Officers	4.A.2.a.2	Processing Information	3.96
11-1011.03	Chief Sustainability Officers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	3.67
11-1011.03	Chief Sustainability Officers	4.A.2.a.4	Analyzing Data or Information	4.22
11-1011.03	Chief Sustainability Officers	4.A.2.b.1	Making Decisions and Solving Problems	4.63
11-1011.03	Chief Sustainability Officers	4.A.2.b.2	Thinking Creatively	4.33
11-1011.03	Chief Sustainability Officers	4.A.2.b.3	Updating and Using Relevant Knowledge	4.3
11-1011.03	Chief Sustainability Officers	4.A.2.b.4	Developing Objectives and Strategies	4.5
11-1011.03	Chief Sustainability Officers	4.A.2.b.5	Scheduling Work and Activities	3.63
11-1011.03	Chief Sustainability Officers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.37
11-1011.03	Chief Sustainability Officers	4.A.3.a.1	Performing General Physical Activities	1.81
11-1011.03	Chief Sustainability Officers	4.A.3.a.2	Handling and Moving Objects	1.44
11-1011.03	Chief Sustainability Officers	4.A.3.a.3	Controlling Machines and Processes	1.56
11-1011.03	Chief Sustainability Officers	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	1.7
11-1011.03	Chief Sustainability Officers	4.A.3.b.1	Working with Computers	4.15
11-1011.03	Chief Sustainability Officers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	2.0
11-1011.03	Chief Sustainability Officers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.41
11-1011.03	Chief Sustainability Officers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.48
11-1011.03	Chief Sustainability Officers	4.A.3.b.6	Documenting/Recording Information	3.44
